"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","PDP1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Megakaryocyte progenitor cell","PF4","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","PI16","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","PIK3IP1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","PIK3R5","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Megakaryocyte progenitor cell","PLA2G12A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","PLEK","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","PLEKHB1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","PLEKHG3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Cancer cell","Cancer cell","PMEL","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Megakaryocyte progenitor cell","PPBP","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","PRKCA","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","PRKCB","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","PRKCQ-AS1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","PRSS23","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","PSIP1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","PXN","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","R3HDM4","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","RACK1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","RAP1B","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","RAP1GAP2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","RAP2B","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","RASGRP2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","RASSF1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","RCAN3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","REREP3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","RGS19","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","RIC3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","RNF166","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","RNF214","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","RPS5","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","RPS8","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","RSL1D1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","RTKN2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","CD14+CD16+ monocyte","S100A12","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","S1PR5","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","SAMD3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","SAMHD1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","SATB1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","SCML4","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Endothelial cell","SELE","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","SELL","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","SELPLG","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","SERINC5","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","SERINC5","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","SGSM3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","SH3BP5","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","SH3BP5-AS1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","SH3YL1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","SLC2A1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","SLC40A1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","SLC9A3R1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","SLCO4C1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","SMAP2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","SNED1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","SNURF","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","SNX20","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","SPINT2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","SPON2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","SPTBN1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","SRPK2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","STAM","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","STK10","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","STMN3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","SVIL","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","SYNE1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","TAGLN2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","TBC1D4","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","TBX21","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","TCF7","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","TCF7","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","TESPA1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","TGFBR3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","THAP7","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","THEM4","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Fibroblast","THY1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","TLDC2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","TM4SF19","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","TM4SF19-TCTEX1D2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","TMEM123","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","TMEM204","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","TMEM204","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","TMEM63A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","TNFSF8","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","TOMM7","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","TPCN1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","TPST2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","TRABD2A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","TRABD2A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","TRAP1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","TRIM16","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","TRMT1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","TSHZ2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","TTC16","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","TTC38","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","TTC39C","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","TTN","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","TXK","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","TXK","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Cancer cell","Cancer cell","TYR","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","UBQLN2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","USP15","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","USP28","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","VCL","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","VEZF1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","VIPR1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Endothelial cell","VWF","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","WDR37","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","WDR43","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Cancer cell","Cancer cell","WFDC2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","ZEB2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","ZEB2-AS1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","ZNF101","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","ZNF600","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer T (NKT) cell","ZNF683","Single-cell sequencing","1","DETAIL"
