"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Human","Blood","Peripheral blood","Normal cell","Macrophage","CD163","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","B cell","CD19","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Monocyte derived dendritic cell","CD1C","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer cell","CD247","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","CD248","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","CD25","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Memory CD4+ T cell","CD27","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive T cell","CD27","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","T cell","CD27","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","T cell","CD28","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","CD300A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","B cell","CD37","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","T cell","CD3D","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","T cell","CD3E","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","T cell","CD3G","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","CD4+ T cell","CD4","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","CD8+ T cell","CD4","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","CD4","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","CD52","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","CD55","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","CD55","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","CD14+CD16+ monocyte","CD68","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Macrophage","CD68","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","B cell","CD79A","Single-cell sequencing","2","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","B cell","CD79B","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","CD8+ T cell","CD8A","Single-cell sequencing","2","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive T cell","CD8A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer T (NKT) cell","CD8A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","CD8+ T cell","CD8B","Single-cell sequencing","2","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive T cell","CD8B","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer T (NKT) cell","CD8B","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Endothelial cell","CDH5","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","CEP68","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","CEP78","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","CLDND1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Dendritic cell","CLEC4C","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","CMTM7","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Fibroblast","COL1A1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Fibroblast","COL3A1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","COQ8A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","CORO7","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","CORO7-PAM16","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","CPNE2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Macrophage","CSF1R","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Monocyte derived dendritic cell","CST3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","CD4+ T cell","CTLA4","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","CTLA4","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","CX3CR1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","DGKA","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","DSTN","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","EEF1B2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","EEF2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","EFHD2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","EIF3E","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","EIF3L","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","EIF3L","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","ELK3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","EMP3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Cancer cell","Cancer cell","EpCAM","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","EPHX2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","EXOSC8","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","F5","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","FAM102A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","FAM110A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","FAM117B","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","FAM117B","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","FAM60A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","FANK1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Fibroblast","FAP","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Monocyte derived dendritic cell","FCER1A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","FCGR3A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Macrophage","FCGR3A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer cell","FCGR3A","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","FCGR3B","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Natural killer cell","FCGR3B","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","FCMR","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","FCRL3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","FCRL6","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","FGFBP2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","FGR","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","FHIT","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","FKBP5","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","FLNA","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","FOXP1","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","CD4+ T cell","FOXP3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","FOXP3","Single-cell sequencing","3","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","FUT11","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","GAB3","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","GAS5","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","GCSAM","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","GIMAP2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","GIMAP5","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD4+ T cell","GIMAP8","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","GK5","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Regulatory T (Treg) cell","GLRX","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Naive CD8+ T cell","GLTSCR2","Single-cell sequencing","1","DETAIL"
"Human","Blood","Peripheral blood","Normal cell","Effector CD8+ memory T (Tem) cell","GLUL","Single-cell sequencing","1","DETAIL"
